scene,method,status,reason
static,TMTM,defined,
static,STMTM,defined,
static,Budget,defined,
translation,TMTM,defined,
translation,STMTM,defined,
translation,Budget,defined,
growth,TMTM,defined,
growth,STMTM,defined,
growth,Budget,defined,
collective_growth,TMTM,defined,
collective_growth,STMTM,defined,
collective_growth,Budget,defined,
translation_growth,TMTM,defined,
translation_growth,STMTM,defined,
translation_growth,Budget,defined,
hierarchy_conflict,TMTM,defined,
hierarchy_conflict,STMTM,defined,
hierarchy_conflict,Budget,defined,
topology_change,TMTM,defined,
topology_change,STMTM,defined,
topology_change,Budget,defined,
crowding,TMTM,defined,
crowding,STMTM,defined,
crowding,Budget,defined,
summary_only,TMTM,missing_required_input,"No scalar values, augmented arcs, or original-domain sample supports supplied. Full paper pipeline is undefined; not imputed."
summary_only,STMTM,skeleton_only,Section 4.1 skeleton defined; Section 4.2 scalar filling lacks arc samples
summary_only,Budget,defined,
